listing_id,city,district,listing_name,property_type,listing_type,bedrooms,baths,guests,adr_usd,occupancy,ttm_revenue,avg_stay,rating,reviews,registered,source
1028769456007809474,Ho Chi Minh City,Binh Thanh District,Landmark 4• Next to Landmark 81 • Saigon City View,apartment,Entire condo,3,2.0,6,99.2,0.644,21012.0,3.5,4.93,57,False,sourced-airroi
1497667402326358916,Da Nang,,Brownie's House - Cozy 4 Bedroom,villa,Entire home,4,4.0,8,120.6,0.456,20653.0,3.4,4.9,21,False,sourced-airroi
1030716468521049426,Da Nang,Ngũ Hành Sơn District,Corner 3-bedroom apt in My Khe,apartment,Entire rental unit,3,2.0,6,82.2,0.696,20565.0,3.6,4.74,46,False,sourced-airroi
825076658816209910,Ho Chi Minh City,District 1,100m2 District 1 for 7Pax/3Beds/3WC @BenThanh 200m,apartment,Entire rental unit,4,2.0,10,62.8,0.884,20471.0,2.7,4.68,63,False,sourced-airroi
1431546447298564569,Da Nang,,Sunrise Homestay with 4BR,villa,Entire home,4,3.0,8,73.7,0.74,20377.0,4.2,4.79,39,False,sourced-airroi
1525259037973467727,Ho Chi Minh City,,Victory Tower Duplex 4BR 3WC - 1minute to SECC,apartment,Entire rental unit,4,3.0,8,120.1,0.461,20357.0,4.7,4.73,11,False,sourced-airroi
1167792754039067950,Ho Chi Minh City,Binh Thanh District,City+L81 view; renovated; equipped; 6 TVs [4-bed],apartment,Entire rental unit,4,4.0,8,129.6,0.54,20335.0,2.6,4.8,15,False,sourced-airroi
1140492793885338211,Ho Chi Minh City,District 1,Fuzzi - Central D1 City View SOHO,apartment,Entire rental unit,2,1.0,4,57.2,0.928,20321.0,2.9,4.94,123,False,sourced-airroi
39733818,Ho Chi Minh City,Binh Thanh District,3 Huge Bedrooms APT@River;ParkViews VCP Landmark 5,apartment,Entire rental unit,3,2.0,6,82.1,0.669,20286.0,4.7,4.95,60,False,sourced-airroi
1424156915343752770,Da Nang,,Home 3BR Near Han Maket River Center City Full Ac,villa,Entire home,3,2.0,6,81.4,0.682,20141.0,3.0,4.83,48,False,sourced-airroi
925687436307862809,Da Nang,Hải Châu District,Thanh House 4br Near Airport  and Downtown,villa,Entire home,4,3.5,8,77.3,0.76,20113.0,3.2,4.8,55,False,sourced-airroi
1392890926440260569,Da Nang,,50% Off | Zoro Penthouse | Han Market | Firework,villa,Entire condo,3,2.0,8,92.5,0.575,19962.0,3.1,4.84,38,False,sourced-airroi
1086035236960162248,Ho Chi Minh City,Thủ Đức,Masteri thao dien APT T2 4BR *pool & gym,apartment,Entire rental unit,4,3.0,8,158.8,0.323,19857.0,3.6,4.93,40,False,sourced-airroi
979306118786390750,Da Lat,Phường 10,Villa Vintage,villa,Entire rental unit,4,4.0,10,316.9,0.17,19525.0,3.4,0.0,2,False,sourced-airroi
928558823087196673,Da Nang,Thanh Khê District,3 bedrooms 110m2 City Sea Lake view - Free Pick up,apartment,Entire rental unit,3,2.0,6,82.4,0.668,19524.0,4.4,4.93,89,False,sourced-airroi
664413486484437774,Ho Chi Minh City,District 3,[50% TODAY] 3BR Balcony Gym Sauna Infinity Pool,apartment,Entire condo,3,2.0,6,269.3,0.203,19513.0,2.7,4.88,24,False,sourced-airroi
1119292625144112269,Da Nang,Hải Châu District,Han Market 5 Min Walk • 4BR 4BA • Indoor Pool • AC,villa,Entire villa,4,4.0,12,132.7,0.401,19427.0,3.9,4.75,12,False,sourced-airroi
38442891,Ho Chi Minh City,Binh Thanh District,4 Bedroom/4WC combo 2APT same building Landmark Lp,apartment,Entire rental unit,4,4.0,8,141.7,0.391,19415.0,2.8,4.86,58,False,sourced-airroi
888670737960614516,Da Nang,Sơn Trà District,BB House|Walk to Dragon Bridge|Airportpick 4nights,villa,Entire villa,4,4.0,8,91.0,0.666,19304.0,2.8,4.94,135,False,sourced-airroi
952128054124446823,Da Nang,Hải Châu District,3BR-Central;near Airport;Dragon Bridge;Han Market,villa,Entire home,3,2.0,6,75.3,0.766,19206.0,2.3,4.93,169,False,sourced-airroi
